คำที่เขียนถูก	มักเขียนผิดเป็น	หมายเหตุ
ธุรกิจ	ธุระกิจ	คำสมาส หรือใช้ กิจธุระ
นพปฎล	นพปดล	แปลว่า เก้าชั้น
นภดล	นพดล	เว้นแต่ "นพดล" ที่เป็นชื่อเฉพาะ
นวัตกรรม	นวตกรรม	
นอต	น็อต, น๊อต	ทับศัพท์จาก nut ในภาษาอังกฤษที่หมายถึงอุปกรณ์ช่าง
นะ	น๊ะ	ออกเสียงวรรณยุกต์ตรี โดยไม่ปรากฏรูป
นะคะ	นะค่ะ, นะค๊ะ	คะ เป็นเสียงตรี ไม่ต้องใช้ไม้ตรี ในขณะที่ ค่ะ เป็นเสียงโท
นันทนาการ	สันทนาการ	
นัย	นัยยะ	อ่านได้ทั้ง ไน และ ไน-ยะ
นัยน์ตา	นัยตา	
น่า	หน้า	คำประกอบหน้ากริยา หมายความว่า ควร เช่น น่าจะทำอย่างนั้น น่าจะเป็นอย่างนี้; ชวนให้, ทำให้อยากจะ, เช่น น่ากิน น่ารัก
นาฏกรรม	นาฎกรรม	ใช้ ฏ ปฏัก
นาที	นาฑี	นาฑี เป็นภาษาสันสกฤต พบบ้างในหนังสือเก่า ปัจจุบันพจนานุกรมให้สะกดแบบเดียวเท่านั้น
นานัปการ	นานับประการ	
นานา	นา ๆ	ไม่ใช่คำซ้ำ แต่เป็นคำมูลสองพยางค์ที่รับมาจากภาษาบาลี แปลว่า "ต่าง ๆ"
น้ำจัณฑ์	น้ำจัน, น้ำจัณท์, น้ำจันท์	
น้ำมันก๊าด	น้ำมันก๊าซ, น้ำมันก๊าส	
น้ำแข็งไส	น้ำแข็งใส	หมายถึงการนำน้ำแข็งไปไสบนกบ จนได้เกล็ดน้ำแข็ง เป็นวิธีทำแบบดั้งเดิม
นิจศีล	นิจสิน	
นิตยสาร	นิตยาสาร	
นิเทศ	นิเทศน์, นิเทส	
นิมิต	นิมิตร, นิรมิตร	
นิวัต	นิวัติ	
นิเวศวิทยา	นิเวศน์วิทยา	
เนรมิต	เนรมิตร	
เนืองนิตย์	เนืองนิจ	
แน่นหนา	หนาแน่น	- "แน่นหนา" ว่า มั่นคง เช่น ใส่กุญแจแน่นหนา มีหลักฐานมัดตัวแน่นหนา, แข็งแรง เช่น ประตูหน้าต่างแน่นหนา, บางทีก็ใช้เข้าคู่กับ ปึกแผ่น เป็น เป็นปึกแผ่นแน่นหนา. - "หนาแน่น" ว่า คับคั่ง, แออัด, เช่น กรุงเทพฯ มีประชากรหนาแน่นมาก.
โน้ต	โน๊ต, โน้ท, โน๊ท	อักษรต่ำ ไม่ใส่ไม้ตรี
บรรทัด	บันทัด	
บรรทุก	บันทุก	
บรรลุ	บันลุ	
บรรเลง	บันเลง	
บรั่นดี	บะหรั่นดี	
บริสุทธิ์	บริสุทธ, บริสุทธิ	
บล็อก	บล็อค, บล๊อก	หลักการทับศัพท์
บ่วงบาศ	บ่วงบาศก์, บ่วงบาต, บ่วงบาท	
บอระเพ็ด	บรเพ็ด, บอระเพชร	
บังสุกุล	บังสกุล	
บังเอิญ	บังเอิน	
บัญญัติไตรยางศ์	บัญญัติไตรยางค์	เหมือน ไตรยางศ์
บัตรสนเท่ห์	บัตรสนเท่	
บันดาล	บรรดาล	
บันได	บรรได	
บันเทิง	บรรเทิง	
บันลือ	บรรลือ	
บางลำพู	บางลำภู	
บาดทะยัก	บาททะยัก, บาดทยัก	
บาตร	บาต	เครื่องใช้อย่างหนึ่งของพระสงฆ์
บาทบงสุ์	บาทบงส์	อ่านว่า บาด-ทะ-บง
บาทหลวง	บาดหลวง	
บำเหน็จ	บำเน็จ	
บิณฑบาต	บิณฑบาตร, บิณฑบาท	"บาต" ไม่ได้มาจากคำที่แปลว่า บาตร แต่รับมาจากคำภาษาบาลีว่า ปาต [ปา-ตะ] แปลว่า ตก, การตก
เช่น ปิณฺฑปาต = การตกของก้อนข้าว (บิณฑบาต), อุกฺกาปาต แปลว่า การตกของคบเพลิง (อุกกาบาต), อสนิปาต = การตกของสายฟ้า (อสุนีบาต)
บิดพลิ้ว	บิดพริ้ว	
บุคคล	บุคล	
บุคลากร	บุคคลากร	
บุคลิก	บุคคลิก, บุคลิค, บุคคลิค	มาจากคำภาษาบาลีว่า ปุคฺคลิก [ปุก-คะ-ลิ-กะ] เมื่อรับมาใช้ในภาษาไทย สะกดด้วย ค ตัวเดียว แต่อ่านว่า บุก-คะ-ลิก
บุคลิกภาพ	บุคคลิกภาพ, บุคลิคภาพ, บุคคลิคภาพ	
บุปผชาติ	บุปผาชาติ	
บุษราคัม	บุษราคำ, บุศราคัม	
บูชายัญ	บูชายัน, บูชายันต์	
บูรณปฏิสังขรณ์	บูรณะปฏิสังขรณ์	คำสมาส ไม่ต้องประวิสรรชนีย์ระหว่างคำ แต่ยังคงออกเสียง อะ
เบญจเพส	เบญจเพศ	เพส มาจากคำว่า วีสะ แปลว่า 20; เบญจ แปลว่า 5 ดังนั้น เบญจเพส = 25
เบนซิน	เบ็นซิน, เบนซิล	
เบรก	เบรค	ศัพท์บัญญัติ หรือใช้คำว่า ห้ามล้อ
แบงก์	แบ๊งก์, แบ็งก์, แบงค์, แบ๊งค์, แบ็งค์	ตามหลักเกณฑ์การทับศัพท์ภาษาอังกฤษและพจนานุกรม ฉบับราชบัณฑิตยสถาน พ.ศ. 2554 (เฉพาะกรณีที่ใช้เป็นภาษาปากหมายถึงธนาคารหรือธนบัตร หากเป็นวิสามานยนามอาจสะกดแตกต่างออกไปได้)
โบราณ	โบราน, โบราญ	
ปฏิกิริยา	ปฏิกริยา	
ปฏิสันถาร	ปฏิสัณฐาน, ปฏิสันถาน	
ปฏิทิน	ปติทิน	
ปฏิพัทธ์	ประติพัทธ์	
ปฏิสังขรณ์	ปฏิสังขร	
ปฐมนิเทศ	ปฐมนิเทศก์, ปฐมนิเทศน์	
ปณิธาน, ประณิธาน	ปนิธาน, ประนิธาน	ตั้งใจไว้
ปรนนิบัติ	ปรณนิบัติ	
ปรมาณู	ปรมณู	ปรม + อณู
ปรองดอง	ปองดอง	
ปรอท	ประหลอด, ปะหลอด, ประหรอด	ชื่อนกขนาดเล็กหลายชนิด เช่น ปรอดสวน, ปรอดทอง, ปรอดหัวโขน, ปรอท	ธาตุลำดับที่ 80, เครื่องวัดอุณหภูมิ
ประกายพรึก	ประกายพฤกษ์	
ประกาศนียบัตร	ประกาศณียบัตร	
ประกาศิต	ประกาษิต	
ประจัญ	ประจัน	• ประจัญ = ปะทะต่อสู้ (เช่น ประจัญบาน = รบอย่างตะลุมบอน), แผลงมาจากคำเขมรว่า "ผจัญ" (ผฺจาญ่) 
• ประจัน = กั้นเป็นส่วนสัด (เช่น ฝาประจันห้อง = ฝากั้นห้อง), เผชิญ (เช่น ประจันหน้ากัน), ฯลฯ
ประจัญบาน	ประจันบาน, ประจันบาล, ประจัญบาล
ประจันหน้า	ประจัญหน้า
ประจันห้อง	ประจัญห้อง
ประจำการ	ประจำการณ์	
ประณต	ประนต	(กริยา) น้อมไหว้
ประณม	ประนม (ยกกระพุ่มมือ)	• ประณม = (อาการนาม) การน้อมไหว้
• ประนม = ก. ยกกระพุ่มมือ, ยกมือขึ้นกระพุ่ม
ประณาม	ประนาม	
ประณีต	ปราณีต, ประนีต	
ประดิดประดอย	ประดิษฐ์ประดอย	
ประนีประนอม	ประณีประณอม, ประณีปรานอม, ประณีปราณอม, ปรานีประณอม, ปรานีปรานอม, ปรานีปราณอม, ปราณีประณอม, ปราณีปรานอม, ปราณีปราณอม	
ประมาณ	ประมาน	
ประเมิน	ประเมิณ	
ประโยชน์โพดผล	ประโยชน์โพธิผล, ประโยชน์โภชผล, ประโยชน์โภชน์ผล	
ประสบการณ์	ประสพการณ์, ประสบการ	• "ประสบ" เป็นคำกริยาแปลว่าพบหรือพบปะ 
• ส่วน "ประสพ" เป็นคำนามมีความหมายว่าการเกิดผล 
• ในภาษาไทยจึงใช้ "ประสบ" เพียงรูปเดียว เช่น ประสบความสำเร็จ ประสบการณ์ ประสบอุทกภัย ประสบโชค
ประสบผลสำเร็จ, ประสบความสำเร็จ	ประสพผลสำเร็จ, ประสพความสำเร็จ
ประสูติ	ประสูต, ประสูตร	
ประสูติการ	ประสูติกาล	การคลอด เช่น มีพระประสูติการ
ประสูติกาล	ประสูติการ	เวลาคลอด เช่น พระประสูติกาลตก ณ วัน 4 ขึ้น 1 เดือน 6 ย่ำรุ่ง 2 นาฬิกา เศษสังขยา 5 บาท
ประหลาด	ปะหลาด, ปลาด	
ประหัตประหาร	ประหัดประหาร, ประหัตถ์ประหาร	
ปรัมปรา	ปรำปรา, ปะรำปะรา	อ่านว่า ปะ-รำ-ปะ-รา
ปรัศนี	ปรัศนีย์	
ปรากฏ	ปรากฎ	ใช้ ฏ ปฏัก, คำนี้ไม่เกี่ยวข้องกับคำว่า กฎ
ปราณี	ปรานี	• ปราณี = ผู้มีลมปราณ หมายความว่า ผู้มีชีวิต หรือสิ่งมีชีวิต เช่น สัตว์ และคน 
• ปรานี = เอ็นดูด้วยความสงสาร
ปรานี	ปราณี
ปรานีปราศรัย	ปราณีปราศัย	
ปรารถนา	ปราถนา	อ่านว่า "ปราด-ถะ-หนา"
ปราศจาก	ปราศจาค	
ปราศรัย	ปราศัย	
ปล้นสะดม	ปล้นสดมภ์	• สะดม = รมยาให้หลับ 
• สดมภ์ = เสาหรือช่องตามแนวตั้ง
ปวารณา	ปวารนา	
ปะทะ	ประทะ	
ปะแล่ม	ปแล่ม, แปล่ม	
ปักษิน	ปักษิณ	
ปั๊ม	ปั้ม	
ปาฏิหาริย์	ปาฏิหาร, ปาฏิหารย์	
ปาติโมกข์	ปาฏิโมกข์	
ปาริชาต	ปาริชาติ	ชื่อบุคคลจำนวนมากยังใช้ ปาริชาติ อยู่
ปิกนิก	ปิคนิค	คำทับศัพท์
ปิดปากเงียบ	ปริปากเงียบ	• ปิดปาก = ไม่พูด หรือไม่ให้พูด
• ปริปาก = แย้มปากพูดออกมา
ปีติยินดี	ปิติยินดี	ปีติ = ความปลาบปลื้มใจ, ความอิ่มใจ; ปิติ ไม่มีความหมาย
ปุโรหิต	ปุโลหิต	
เปล่า	ปล่าว, ป่าว	
เปอร์เซ็นต์	เปอร์เซนต์	คำทับศัพท์
เป๋อเหลอ	เป๋อเล๋อ	อักษรต่ำ ไม่ใช้วรรณยุกต์จัตวา
แปรพักตร์	แปรพรรค	คิดทรยศ เข้าด้วยกับฝั่งศัตรู
ผดุง	ผะดุง	
ผรุสวาท	ผรุสวาส	
ผลลัพธ์	ผลลัพท์	
ผล็อย	ผลอย	
ผลานิสงส์	ผลานิสงฆ์	
ผอบ	ผะอบ	
ผัดไทย	ผัดไท	
ผัดผ่อน	ผลัดผ่อน	
ผาสุก	ผาสุข	มาจากคำบาลีว่า ผาสุก [ผา-สุ-กะ] แปลว่า ความสำราญ, ความสบาย (ไม่ได้มาจาก ผา + สุข); แต่ชื่อบุคคลและสถานที่จำนวนมากยังใช้ ผาสุข อยู่
ผีซ้ำด้ำพลอย	ผีซ้ำด้ามพลอย	ด้ำ เป็นภาษาเหนือ แปลว่า ผีเรือน
ผีพุ่งไต้	ผีพุ่งใต้	เปรียบว่าเป็นผีที่พุ่งออกมาเป็นแสงเหมือนแสงไต้ หรือเปรียบเหมือนไต้ที่ผีซัดออกมา
ผุดลุกผุดนั่ง	ผลุดลุกผลุดนั่ง	
ผูกพัน	ผูกพันธ์	
ผู้เยาว์	ผู้เยา	
เผชิญ	ผเชิญ, ผะเชิญ	
เผลอไผล	เผอไผ	
เผอเรอ	เผลอเรอ	
เผอิญ	ผเอิญ, ผะเอิญ	
เผ่าพันธุ์	เผ่าพัน	
แผ่ซ่าน	แผ่ส้าน, แผ่ซ้าน	
แผนการ	แผนการณ์	
แผลงฤทธิ์	แผงฤทธิ์	
ไผท	ผไท, ผะไท	
ฝรั่งเศส	ฝรั่งเศษ	
ฝักฝ่าย	ฝักใฝ่, ฝักไฝ่	พวก, ข้าง
ฝักใฝ่	ฝักฝ่าย, ฝักไฝ่	เอาใจใส่, ผูกพัน
ฝากครรภ์	ฝากครร	
ฝีดาษ	ฝีดาด	ไข้ทรพิษ
ฝึกปรือ	ฝึกปือ, ฝึกปลือ	
ไฝ	ใฝ	คำนอกกฎการใช้ไม้ม้วน
พงศ์พันธุ์	พงพันธุ์, พงษ์พันธุ์	
พจนานุกรม	พจณานุกรม	พจน + อนุกรม
ฯพณฯ	พณ, พณฯ, ฯพณ, ฯพณฯ ท่าน, พณ.ท่าน, พณะท่าน	เขียน "ฯพณฯ" อ่านว่า "พะ-นะ-ท่าน" ย่อมาจาก พณหัวเจ้าท่าน (พระ ณ หัวเจ้าท่าน)
พยัก	พะยัก	
พยักพเยิด	พะยักพะเยิด, พยักเพยิด	
พยัคฆ์	พยัค, พยัคร, พยัฆ	เสือ
พยาน	พญาณ, พยาณ, พะยาน	
พยาบาท	พญาบาท, พยาบาตร	
พยุง	พะยุง	
พเยีย	พะเยีย, เพยีย	พวงดอกไม้
พรรณนา	พรรณา	อ่านว่า พัน-นะ-นา
พรหมจรรย์	พรมจรรย์	
พระวงศ์	พระวงค์	รวมทั้ง เชื้อพระวงศ์
พราหมณ์	พราห์มณ์, พรามณ์	อ่านว่า พฺราม
พร่ำพลอด	พร่ำพรอด	
พฤศจิกายน	พฤษจิกายน	
พฤษภาคม	พฤศภาคม	
พลการ	พละการ	คำสมาส
พลศึกษา	พละศึกษา	คำสมาส
พละกำลัง	พลกำลัง	
พลาสติก	พลาสติค	
พหูสูต	พหูสูตร	
พะแนง	พแนง, แพนง	
พะยอม	พยอม	ชื่อต้นไม้ มีดอกสีขาว
พะยูน	พยูน	
พะวักพะวน	พวักพวน	
พังทลาย	พังทะลาย	
พันทาง	พันธุ์ทาง	ลูกผสมต่างสายพันธุ์
พันธกิจ	พันธะกิจ	คำสมาส
พันธสัญญา	พันธะสัญญา	คำสมาส
พัศดี	พัสดี	
พัสดุ	พัศดุ	
พากย์	พากษ์	พากย์หนัง
พาณิชย์, พาณิชย, พณิชย์, พาณิช, พณิช	พานิชย์, พานิชย, พนิชย์, พานิช, พนิช	ใช้ ณ เสมอ รวมถึงรูปศัพท์เดิมก่อนแผลง ว เป็น พ เช่น วาณิชย์ วาณิชกะ วณิชย์ วณิชยา วาณิช วณิช
พานจะเป็นลม	พาลจะเป็นลม	
พาหุรัด	พาหุรัต, พาหุรัตน์	
พิณพาทย์	พิณภาทย์	
พิธีรีตอง	พิธีรีตรอง	
พิบูล	พิบูลย์	
พิพิธภัณฑ์	พิพิทธภัณฑ์	
พิราบ	พิราป	นกชนิดหนึ่ง
พิลาป	พิราป	คร่ำครวญ, ร้องไห้ เช่น รำพันพิลาป
พิลิปดา	ฟิลิปดา	
พิศวง	พิสวง	
พิศวาส	พิสวาส, พิสวาท	
พิสดาร	พิศดาร	
พิสมัย	พิศมัย	
พิสูจน์	พิสูตร	
พึมพำ	พึมพัม	
พุดตาน	พุดตาล	ดอกไม้ชนิดหนึ่ง
พุทธชาด	พุทธชาติ	ดอกไม้ชนิดหนึ่ง
พู่กัน	ภู่กัน	
พู่ระหง	ภู่ระหง	
เพชฌฆาต	เพชรฆาต, เพ็ชรฆาต	
เพชร	เพ็ชร	
เพศสัมพันธ์	เพศสัมพันธุ์	
เพนียด	พเนียด, พะเนียด	
เพริศพริ้ง	เพริดพริ้ง	
เพิ่มพูน	เพิ่มพูล	
เพียบพร้อม	เพรียบพร้อม	
แพทยศาสตร์	แพทย์ศาสตร์	
โพชฌงค์	โพชงค์, โภณงค์, โภชงค์	
โพดำ	โพธิ์ดำ	
โพแดง	โพธิ์แดง	
โพทะเล	โพธิ์ทะเล	
โพนทะนา	โพนทนา	
โพระดก	โพรดก, โภรดก, โภระดก
โพสพ	โพศพ, โภศพ, โภสพ
ไพฑูรย์	ไพทูรย์	
ฟังก์ชัน	ฟังก์ชั่น	ไม่มีไม้เอก
ฟั่น	ฝั้น	เช่น ฟั่นเชือก ฟั่นเทียน
ฟันคุด	ฟันครุฑ, ฟันครุท	คุด หมายถึง งอกงออยู่ภายในไม่โผล่ออกมาตามปรกติ ครุฑเป็นสัตว์ในตำนานอินเดีย
ฟาทอม	ฟาธอม, แฟทอม, แฟธอม	หน่วยวัดระยะทาง
ฟิล์ม	ฟิลม์, ฟลิม, ฟิมล์, ฟิม์ล	
ฟิวส์	ฟิว	
ฟุตบอล	ฟุทบอล	
ฟุลสแก๊ป	ฟูลสแกป	หน้ากระดาษที่มีเส้นบรรทัด
เฟิน	เฟิร์น	ถ้านำไปเขียนคำทับศัพท์อาจอนุโลมใช้ เฟิร์น ได้
แฟชั่น	แฟชัน	มีไม้เอก
ไฟแช็ก	ไฟแชค, ไฟแช็ค	
ภคินี	ภคิณี	
ภวังค์	พวังศ์	
ภววิสัย	ภาววิสัย, ภาวะวิสัย	"ภววิสัย" ตรงกับภาษาอังกฤษว่า "objective" บางทีใช้ "ปรนัย" (ปะระไน), "ปรวิสัย" (ปะระวิสัย) หรือ "วัตถุวิสัย" หมายความว่า "ที่เกี่ยวข้องกับวัตถุ โดยไม่เกี่ยวกับความคิดหรือความรู้สึก"
ภัณฑารักษ์	พันธารักษ์	
ภาคทัณฑ์	ภาคฑัณฑ์	
ภาคภูมิ	ภาคภูม	
ภาพยนตร์	ภาพยนต์	
ภารกิจ	ภาระกิจ	คำสมาส
ภาวการณ์	ภาวะการณ์, ภาวะการ	คำสมาส
ภุชงค์	พุชงค์	
ภูตผี	ภูติผี	ภูต แปลว่า ผี; ภูติ แปลว่า ความรุ่งเรือง
ภูมิใจ	ภูมใจ	
ภูมิลำเนา	ภูมลำเนา	อ่านว่า พูม-ลำ-เนา หรือ พู-มิ-ลำ-เนา ก็ได้
เภตรา	เพตรา	
เภทภัย	เพทภัย, เพศภัย	
มกุฎ	มกุฏ	ใช้ ฎ ชฎา เช่น มกุฎราชกุมาร มกุฎราชกุมารี ยกเว้น มหามกุฏราชวิทยาลัย และ มกุฏกษัตริยาราม ที่ใช้ ฏ ปฏัก
มงกุฎ	มงกุฏ	ใช้ ฎ ชฎา
มณฑป	มนฑป, มณทป	อ่านว่า มน-ดบ
มนเทียร	มนเฑียร, มณเฑียร	
มนุษยสัมพันธ์	มนุษย์สัมพันธ์	คำสมาส
มรณภาพ	มรณะภาพ	
มฤตยู	มฤตญู	
มลทิน	มนทิน	
มลังเมลือง	มะลังมะเลือง	
มหรรณพ	มหรรนพ, มหันนพ	
มหรสพ	มหรศพ	อ่านว่า มะ-หอ-ระ-สบ
มหัศจรรย์	มหรรศจรรย์	
มหาหิงคุ์	มหาหิงค์	
มเหสักข์	มเหศักดิ์	
มเหสี	มเหศรี, มเหศี, มเหษี, เมหสี	
มไหศวรรย์	มไหสวรรค์	
มอเตอร์ไซค์	มอเตอร์ไซด์, มอเตอร์ไซต์, มอเตอร์ไซท์, มอเตอร์ไซ	ทับศัพท์จาก motorcycle = มอเตอร์ไซเคิล จึงใช้ ค การันต์
ม่อห้อม, ม่อฮ่อม, หม้อห้อม	หม้อฮ่อม	
มะหะหมัด	มหะหมัด, มะหะมัด	
มัคคุเทศก์	มัคคุเทศ, มัคคุเทศน์	
มัคนายก, มรรคนายก	มัคทายก, มรรคทายก	(บาลี) มคฺค + นายก (สันสกฤต) มารฺค + นายก หมายถึง ผู้นำทาง ได้แก่ ผู้จัดการทางกุศล หรือผู้ชี้แจงทางบุญทางกุศลและป่าวประกาศให้ประชาชนมาทำบุญทำกุศลในวัด
มัณฑนศิลป์	มันทนศิลป์, มันฑณศิลป์	
มัธยัสถ์	มัธยัสต์	
มัศยา, มัตสยา	มัสยา	ปลา
มัสตาร์ด	มัสตาด	
มัสมั่น	มัสหมั่น	อ่านว่า มัด-สะ-หมั่น
มาตรการ	มาตราการ	ระวังการใช้ในบริบท มาตรา-การ
มาตรฐาน	มาตราฐาน	ระวังการใช้ในบริบท มาตรา-ฐาน
มานุษยวิทยา	มนุษยวิทยา	มานุษย = ที่เกี่ยวกับมนุษย์
ม่าเหมี่ยว	มะเหมี่ยว	ด้วงปีกแข็งชนิดหนึ่ง, ชมพู่ผลสีแดงเข้ม
มึง	เมิง	
มืดมน	มืดมนต์, มืดมล	
มุกตลก	มุขตลก	ราชบัณฑิตยสถานสะกดว่า มุก ในขณะที่พจนานุกรมฉบับมติชนสะกดว่า มุข
เม.ย.	เม.ษ.	เมษายน
แมงมุม	แมลงมุม	
แมลงดา	แมงดา	เฉพาะแมลง (มี 6 ขา) ส่วนแมงดาจะใช้กับแมงดาทะเล (มี 12 ขา)
แมลงภู่	แมลงพู่, แมงภู่	ทั้งชื่อแมลงและหอย
แมลงวัน	แมงวัน	
แมลงสาบ	แมลงสาป, แมงสาบ, แมงสาป	
ไมยราบ	ไมยราพ	ชื่อพืชชนิดหนึ่ง
ไมยราพณ์, มัยราพณ์	ไมยราพ	ตัวละครในรามเกียรติ์
ไมล์	ไมร์, ไมค์	หน่วยวัดระยะทาง
ยศถาบรรดาศักดิ์	ยศฐาบรรดาศักดิ์	
ย่อมเยา	ย่อมเยาว์	ราคาย่อมเยา
ยาเกร็ด	ยาเกล็ด	หมายถึง ตำรา
ยานัตถุ์	ยานัตถ์, ยานัด	นัตถุ์ แปลว่า จมูก
ยีราฟ	จีราฟ	
เยอรมนี, เยอรมัน	เยอรมันนี	
เยาว์วัย	เยาวัย	
เยื่อใย	เยื่อไย	คำซ้อน เยื่อ + ใย
ใยแมงมุม	ไยแมงมุม	
ไย	ใย	หมายถึงไฉน, อะไร, ทำไม
ไยดี	ใยดี	
ไยไพ	ใยไพ	หมายถึงเยาะเย้ย, พูดให้อาย
โยธวาทิต	โยธวาฑิต	
เรื่อย ๆ	เรื่อยๆ	
รกชัฏ	รกชัฎ	ใช้ ฏ ปฏัก
รณรงค์	รนรงค์	
รถเมล์	รถเมย์	
รถยนต์	รถยนตร์	อาจพบหนังสือเก่าเขียนเป็น รถยนตร์ บ้าง
รมณีย์	รมนีย์, รมณี	
รสชาติ	รสชาด	อาจพบหนังสือเก่าเขียนเป็น รสชาด บ้าง
ร้องไห้	ร้องให้	
ระบบนิเวศ	ระบบนิเวศน์	
ระเบงเซ็งแซ่	ระเบ็งเซ็งแซ่	
ระเห็จ	รเห็จ, เรห็จ	
